date,item_code
2025-06-01 00:00:00,5453
2025-06-01 00:00:00,10107
2025-06-01 00:00:00,20549
2025-06-01 00:00:00,1152
2025-06-01 00:00:00,6240
2025-06-01 00:00:00,9657
2025-06-01 00:00:00,1885
2025-06-01 00:00:00,3047
2025-06-01 00:00:00,2507
2025-06-01 00:00:00,17874
2025-06-01 00:00:00,2024
2025-06-01 00:00:00,5574
2025-06-01 00:00:00,12067
2025-06-01 00:00:00,7299
2025-06-01 00:00:00,4222
2025-06-01 00:00:00,1274
2025-06-01 00:00:00,5684
2025-06-01 00:00:00,3792
2025-06-01 00:00:00,18016
2025-06-01 00:00:00,9434
2025-06-01 00:00:00,3626
2025-06-01 00:00:00,20863
2025-06-01 00:00:00,17521
2025-06-01 00:00:00,8025
2025-06-01 00:00:00,10965
2025-06-01 00:00:00,3382
2025-06-01 00:00:00,3642
2025-06-01 00:00:00,27044
2025-06-01 00:00:00,19767
2025-06-01 00:00:00,10136
2025-06-01 00:00:00,1041
2025-06-01 00:00:00,11006
2025-06-01 00:00:00,18215
2025-06-01 00:00:00,19510
2025-06-01 00:00:00,4155
2025-06-01 00:00:00,1288
2025-06-01 00:00:00,3758
2025-06-01 00:00:00,5350
2025-06-01 00:00:00,12389
2025-06-01 00:00:00,7588
2025-06-01 00:00:00,3966
2025-06-01 00:00:00,19877
2025-06-01 00:00:00,3292
2025-06-01 00:00:00,7880
2025-06-01 00:00:00,5476
2025-06-01 00:00:00,17308
2025-06-01 00:00:00,3956
2025-06-01 00:00:00,11378
2025-06-01 00:00:00,4302
2025-06-01 00:00:00,9256
2025-06-01 00:00:00,3254
2025-06-01 00:00:00,5508
2025-06-01 00:00:00,29243
2025-06-01 00:00:00,7880
2025-06-01 00:00:00,3313
2025-06-01 00:00:00,29185
2025-06-01 00:00:00,2598
2025-06-01 00:00:00,7844
2025-06-01 00:00:00,17629
2025-06-01 00:00:00,1112
2025-06-01 00:00:00,4949
2025-06-01 00:00:00,8628
2025-06-01 00:00:00,27043
2025-06-01 00:00:00,5487
2025-06-01 00:00:00,10634
2025-06-01 00:00:00,1277
2025-06-01 00:00:00,4436
2025-06-01 00:00:00,3508
2025-06-01 00:00:00,529
2025-06-01 00:00:00,958
2025-06-01 00:00:00,3540
2025-06-01 00:00:00,5626
2025-06-01 00:00:00,4941
2025-06-01 00:00:00,11049
2025-06-01 00:00:00,627
2025-06-01 00:00:00,0
2025-06-01 00:00:00,10903
2025-06-01 00:00:00,12715
2025-06-01 00:00:00,5446
2025-06-01 00:00:00,3248
2025-06-01 00:00:00,919
2025-06-01 00:00:00,1232
2025-06-01 00:00:00,19245
2025-06-01 00:00:00,11911
2025-06-01 00:00:00,13268
2025-06-01 00:00:00,1445
2025-06-01 00:00:00,29312
2025-06-01 00:00:00,1141
2025-06-01 00:00:00,1505
2025-06-01 00:00:00,8055
2025-06-01 00:00:00,17992
2025-06-01 00:00:00,413
2025-06-01 00:00:00,27043
2025-06-01 00:00:00,17416
2025-06-01 00:00:00,17714
2025-06-01 00:00:00,8067
2025-06-01 00:00:00,3844
2025-06-01 00:00:00,1141
2025-06-01 00:00:00,5857
2025-06-01 00:00:00,5103
2025-06-01 00:00:00,958
2025-06-01 00:00:00,27034
2025-06-01 00:00:00,774
2025-06-01 00:00:00,14534
2025-06-01 00:00:00,1259
2025-06-01 00:00:00,13774
2025-06-01 00:00:00,19384
2025-06-01 00:00:00,4035
2025-06-01 00:00:00,12853
2025-06-01 00:00:00,9738
2025-06-01 00:00:00,1235
2025-06-01 00:00:00,2676
2025-06-01 00:00:00,22242
2025-06-01 00:00:00,6635
2025-06-01 00:00:00,54
2025-06-01 00:00:00,19881
2025-06-01 00:00:00,28604
2025-06-01 00:00:00,177
2025-06-01 00:00:00,2129
2025-06-01 00:00:00,5952
2025-06-01 00:00:00,18196
2025-06-01 00:00:00,29241
2025-06-01 00:00:00,6542
2025-06-01 00:00:00,11916
2025-06-01 00:00:00,13528
