order_id,items
147,"1158,4873,6055,4285"
148,1103
149,2121
150,"8025,9294,14121,955,625"
151,"19729,5817,6511,14143,3433,6237,9498,28897,7546,6499,12965,992,9906,6114,4835,17352,3521,17528,892,7923,4444,5175,9420,10094,5087,6208,5021,9124,630,4678"
152,10678
153,"6951,1232,4943"
154,5232
155,"976,2384,1954,1329,9802,10878,19338,433,18500,148,2577,3504,1483,911,4797,11594,5743"
156,10134
157,"1104,7858,9866"
158,5327
159,17693
160,5830
161,18829
162,29101
163,12499
164,"7379,3955,985,4636,12344,6576,4435,10567,5535,6249,27408,27435,11982,9302"
165,15998
166,18252
167,14846
168,5530
169,11062
170,8278
171,"1851,1052"
172,7151
173,1080
174,5040
175,412
176,21741
177,"21801,13227,7466,5314,17705,18483,18513,7944"
178,"18615,3428,6446,7854,1325,19397,7344,9552,12292,7105,2389,19683,5995,1637,2778,17585,556,4686,7081,555,9799,3857,6181,18447,3259,5461,19401,11424,5759,12859,18243,4499,2632,1228,29309,12481,28592,1002,3824,11560,4391,21930,17527,3502,9780,2651,6055"
179,18903
180,19117
181,"21902,21909"
182,"12081,11007"
183,3955
184,2705
185,"3475,5343,4864,3758"
186,"3246,17874,2552,3769,1060,5600,5399,382,1272"
187,"20351,9351,17651,3459,15001,6036,1304,1601,2859,18404,19727,1759,2312,9135,8137,6191"
188,"18771,940,529,2356"
189,2754
190,7582
191,28592
192,"3031,491,7372"
193,1378
194,847
195,2114
196,10945
197,"17506,18668,6422,11976,226,10846,18082,11959,5744,1755,4973,8314,19022,1064,11863,4105,19898,11719,4941,1302,12261,914,29171,7540,29298,1778,29309,2021,2044,6428,12029,7977,8271,4012,7825,27095,17498,1000,11953,7160,439,14860,3950,1079,20549,1783,21965,2097,18026,2684,1833,17631,8751,4263,11791,14011,5759,17877,4078,4460,20914,3834,18292,17588,5395,5538,554,11603,8514,17607,19904,2964,7297,3669,755,1348,18627,13739,18469,5083,3354,5337,608,3248,1166,3724,7208,18239,2349,8055,20621,4328,14447,13183,13006,7136"
198,"2128,7791,927,12302,9030,5982,5340,27390"
199,"8403,3425"
200,20394
201,"12959,6249"
202,1023
203,"2384,28878,5896,9742"
204,19153
205,"5297,4350,774,2050,10443"
206,"28767,20892,7765,11789,4922,17654,13168,27094,27102,17451,29264,1790,1079"
207,28594
208,"7781,29172,3600,5191,970,11945,1196,6106,6143,3064,5321,4852,4231,3174,18153,2754,19858,8527,4167,7791,18417,7511,4048,2340,20342,1688"
209,"5535,3087,941,18713,7330"
210,"19579,3313,7495,564,17447,10878,2292,11198"
211,3433
212,3518
213,2853
214,3327
215,"9816,18616,3055,27289"
216,18185
217,"17532,7906"
218,"11739,14980,28610,11949,9351,5405,3890,12098,1003,4679,12049,10845,27043,19680,2292,17318"
219,"1272,13847"
220,10765
221,"20647,9992,951,5323,19111,20194,19279,3308"
222,7455
223,"8094,2075,3138,4265,27404,3269,17380,10238,1808,1430,4486,19279,3333,5500,882,9888,429,966"
224,10678
225,"7388,13429,10848,27309,5062,10732,29312,10965,8927,1425,13424,10862,1095,4317,18239,7083,516,1220,18219,5187,8940,29169,19681"
226,9498
227,"2837,17783,18062,5807,2853,8628,905,7950,3054,18521,9142,20753,27484,10640,841,2018,5806,22242,1004,2561,4647,9539,1791,3370,2793,2379,5360,18315,17857,1960,2586,21973"
228,"9332,21714"
229,"13797,6703,1107"
230,18843
231,13483
232,5083
233,12928
234,"7880,1059,1684,2239,6630,7747,1437,17993,1297,2065,7764,7346,17857,1800,12722,20078,18681,5600,5445,18013,29129,754,142,3360,3633,12267"
235,"5333,19706,18357,3315,7800,2117,4629,14010,1506,19096,19016,1885,1156,12108,1261,3420,5103,3382,2210,3000,2389,7317,5468,730,8030,3332,10889,5601,3525,3592,3296,7515,4207,1688,4658,6942,19072,2702,1091,2239,3618,7794,64,1375,5158,1844,2178,29334,9256,11155,2607,7924,3124,5130,2759,9425,7704,12276"
236,"20937,3923,1013,9666,1880,10665,5645,2648,18299,18419"
237,"12353,5836"
238,"5850,5176,13408,2384,7977,20435,19989,947,14553,1265,6203,6321,21716,17732,2075,18181,19486,21923,890,4244"
239,1620
240,"7612,1145,13356,28836,13220,6166,17381"
241,4524
242,4161
243,"19899,11891"
244,7988
245,"5176,3433,1140"
246,6181
247,3308
