Bestand,Requester user code,Gemiddelde picktijd (sec)
1_VerdelingItem01_03,2,5.2217979145004065
1_VerdelingItem01_03,3,0.12589572108802877
1_VerdelingItem01_03,4,11.240442838192175
1_VerdelingItem01_03,7,16.00447564728598
1_VerdelingItem01_03,8,17.594344453496237
1_VerdelingItem01_03,12,8.065451293655839
1_VerdelingItem01_03,16,7.145073953536651
1_VerdelingItem01_03,18,14.788558296117584
1_VerdelingItem01_03,19,5.237141910731978
1_VerdelingItem01_03,24,10.685001197371502
1_VerdelingItem01_03,26,90.97016208814621
1_VerdelingItem01_03,27,4.702139613413652
1_VerdelingItem01_03,28,5.353718672994691
1_VerdelingItem01_03,30,7.569397047878828
1_VerdelingItem01_03,35,24.572243411662704
2_VerdelingItem04_06,0,4.28328757797059
2_VerdelingItem04_06,4,9.753091379913066
2_VerdelingItem04_06,5,7.646972316000419
2_VerdelingItem04_06,7,11.5
2_VerdelingItem04_06,22,5.21813637136691
2_VerdelingItem04_06,24,7.579302091206853
2_VerdelingItem04_06,33,4.614966523105391
2_VerdelingItem04_06,35,4.7832537506730475
2_VerdelingItem04_06,37,7.135782476418561
2_VerdelingItem04_06,38,4.730127920028224
2_VerdelingItem04_06,40,32.52103769149056
2_VerdelingItem04_06,42,4.419129019673677
2_VerdelingItem04_06,44,16.030887776433637
2_VerdelingItem04_06,48,13.640701291724849
2_VerdelingItem04_06,49,15.245132685909947
2_VerdelingItem04_06,52,42.40368376443098
2_VerdelingItem04_06,55,7.18545699220787
2_VerdelingItem04_06,58,6.372676966258065
2_VerdelingItem04_06,64,6.715407193556851
3_VerdelingItem07_09,4,83.19046805125983
3_VerdelingItem07_09,13,36.533319994388116
3_VerdelingItem07_09,20,13.09504994896913
3_VerdelingItem07_09,32,4.46041729989007
3_VerdelingItem07_09,35,10.451747557997559
3_VerdelingItem07_09,47,5.157650376849555
3_VerdelingItem07_09,49,38.487465767468656
3_VerdelingItem07_09,50,13.094423063634325
3_VerdelingItem07_09,51,7.724830476706513
3_VerdelingItem07_09,53,25.53729326124837
3_VerdelingItem07_09,56,12.550088182808123
3_VerdelingItem07_09,58,13.989312818631134
3_VerdelingItem07_09,60,22.280894455324415
3_VerdelingItem07_09,65,5.580903814047242
3_VerdelingItem07_09,66,4.861743516836613
3_VerdelingItem07_09,67,5.781718696440168
3_VerdelingItem07_09,68,7.037504375874583
3_VerdelingItem07_09,73,3.6740449353046865
3_VerdelingItem07_09,76,7.729437466906904
4_VerdelingItem10_12,1,6.797580577350595
4_VerdelingItem10_12,7,8.555555555555555
4_VerdelingItem10_12,9,4.596827019967537
4_VerdelingItem10_12,14,3.475814536340852
4_VerdelingItem10_12,30,5.43856853616469
4_VerdelingItem10_12,35,7.867325448697998
4_VerdelingItem10_12,43,28.249039405837816
4_VerdelingItem10_12,50,6.774745014150662
4_VerdelingItem10_12,51,5.02094719257182
4_VerdelingItem10_12,54,10.368208472901031
4_VerdelingItem10_12,64,10.45602525401376
4_VerdelingItem10_12,68,55.58385646418553
4_VerdelingItem10_12,72,7.144664935395414
4_VerdelingItem10_12,77,4.387606927922308
4_VerdelingItem10_12,79,5.369713240802502
5_VerdelingItem13_15,4,87.11124915633313
5_VerdelingItem13_15,14,7.15782435349823
5_VerdelingItem13_15,15,22.27889746234158
5_VerdelingItem13_15,30,109.55952380952381
5_VerdelingItem13_15,34,50.367751428776124
5_VerdelingItem13_15,48,14.49988452777709
5_VerdelingItem13_15,50,34.33831444317419
5_VerdelingItem13_15,55,283.4408880815455
5_VerdelingItem13_15,56,11.28023385686044
5_VerdelingItem13_15,60,17.454736692998182
5_VerdelingItem13_15,61,18.463035524296814
5_VerdelingItem13_15,67,61.038573410645895
5_VerdelingItem13_15,68,4.969082897711228
5_VerdelingItem13_15,70,330.6904761904762
5_VerdelingItem13_15,72,5.594958462578342
5_VerdelingItem13_15,83,42.78392955416846
5_VerdelingItem13_15,85,5.063036392770318
5_VerdelingItem13_15,86,6.182084063982971
5_VerdelingItem13_15,88,7.986987283435947
5_VerdelingItem13_15,89,14.257272831108617
6_VerdelingItem16_19,2,7.728524728438374
6_VerdelingItem16_19,4,6.810832384535703
6_VerdelingItem16_19,5,35.72116635704666
6_VerdelingItem16_19,7,80.93517047741425
6_VerdelingItem16_19,10,4.92821638466897
6_VerdelingItem16_19,15,4.699699659315043
6_VerdelingItem16_19,34,20.082609871563214
6_VerdelingItem16_19,35,5.569727891156463
6_VerdelingItem16_19,42,6.063216920126676
6_VerdelingItem16_19,43,3.968853208106257
6_VerdelingItem16_19,44,14.039541584128568
6_VerdelingItem16_19,48,10.066732732421272
6_VerdelingItem16_19,50,81.1046446216445
6_VerdelingItem16_19,51,20.455358623085978
6_VerdelingItem16_19,52,4.129248679898075
6_VerdelingItem16_19,61,5.849241584704458
6_VerdelingItem16_19,63,1231.5
6_VerdelingItem16_19,67,5.505802988921062
6_VerdelingItem16_19,68,4.11060606060606
6_VerdelingItem16_19,72,5.342944733416547
6_VerdelingItem16_19,89,86.52958400262119
6_VerdelingItem16_19,93,7.15441567698189
6_VerdelingItem16_19,96,62.22873299222188
6_VerdelingItem16_19,99,9.19507274343891
6_VerdelingItem16_19,102,4.06350296627728
